code,name,type,parent_code,notes
1700,Accounts receivable,asset,,
1763,VAT receivable,asset,,
1910,Main bank account,asset,,
1911,Holvi bank account,asset,,
1912,PayPal bank account,asset,,
1998,Internal transfer clearing,asset,,
1999,Suspense account,asset,,
2010,Owner contributions,equity,,
2060,Owner withdrawals,equity,,
2200,Retained earnings,equity,,
2300,Current year earnings,equity,,
2370,Owner loan liability,liability,,
2931,VAT payable,liability,,
3000,Service sales,income,,
3002,Business transfer income (VAT 0%),income,,
3200,Legacy retained earnings compatibility,equity,,
4000,Service purchases,expense,,
6800,Depreciation expense,expense,,
8680,Asset disposal loss,expense,,
1160,Equipment and machinery,asset,,
1162,Accumulated depreciation,asset,,
3990,Asset disposal gain,income,,
8564,Bank charges,expense,,
