entry_id,transaction_id,posting_date,account_id,debit,credit,currency,voucher_id,source_system,source_id,dimensions,entry_sequence,description
2026-02-25T062225Z-pq3e7q-e1,2026-02-25T062225Z-pq3e7q,2024-01-01,1910,1500.00,0.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,,1,Synthetic opening balance
2026-02-25T062225Z-pq3e7q-e2,2026-02-25T062225Z-pq3e7q,2024-01-01,2200,0.00,1500.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,,2,Synthetic opening balance
2026-02-25T062225Z-6wqyw8-e1,2026-02-25T062225Z-6wqyw8,2024-01-15,1910,125.50,0.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,1,Synthetic sales receipt S-9001
2026-02-25T062225Z-6wqyw8-e2,2026-02-25T062225Z-6wqyw8,2024-01-15,3000,0.00,100.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,2,Synthetic sales receipt S-9001
2026-02-25T062225Z-6wqyw8-e3,2026-02-25T062225Z-6wqyw8,2024-01-15,2931,0.00,25.50,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,3,Synthetic sales receipt S-9001
2026-02-25T062226Z-srwpa9-e1,2026-02-25T062226Z-srwpa9,2024-01-22,4000,40.00,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,1,Synthetic purchase payment P-9101
2026-02-25T062226Z-srwpa9-e2,2026-02-25T062226Z-srwpa9,2024-01-22,1763,10.20,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,2,Synthetic purchase payment P-9101
2026-02-25T062226Z-srwpa9-e3,2026-02-25T062226Z-srwpa9,2024-01-22,1910,0.00,50.20,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,3,Synthetic purchase payment P-9101
2026-02-25T062226Z-i7qqhc-e1,2026-02-25T062226Z-i7qqhc,2024-01-26,1998,150.00,0.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,,1,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-i7qqhc-e2,2026-02-25T062226Z-i7qqhc,2024-01-26,1910,0.00,150.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,,2,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-tq8i1s-e1,2026-02-25T062226Z-tq8i1s,2024-01-26,1911,150.00,0.00,EUR,bank_row:synth-b-041:journal:1,default,bank_row:synth-b-041:journal:1,,1,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-tq8i1s-e2,2026-02-25T062226Z-tq8i1s,2024-01-26,1998,0.00,150.00,EUR,bank_row:synth-b-041:journal:1,default,bank_row:synth-b-041:journal:1,,2,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-z8imx5-e1,2026-02-25T062226Z-z8imx5,2024-02-16,1910,175.70,0.00,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,1,Synthetic sales receipt S-9004
2026-02-25T062226Z-z8imx5-e2,2026-02-25T062226Z-z8imx5,2024-02-16,3000,0.00,140.00,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,2,Synthetic sales receipt S-9004
2026-02-25T062226Z-z8imx5-e3,2026-02-25T062226Z-z8imx5,2024-02-16,2931,0.00,35.70,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,3,Synthetic sales receipt S-9004
2026-02-25T062226Z-h9mckr-e1,2026-02-25T062226Z-h9mckr,2024-02-27,1998,180.00,0.00,EUR,bank_row:synth-b-042:journal:1,default,bank_row:synth-b-042:journal:1,,1,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-h9mckr-e2,2026-02-25T062226Z-h9mckr,2024-02-27,1910,0.00,180.00,EUR,bank_row:synth-b-042:journal:1,default,bank_row:synth-b-042:journal:1,,2,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-egg9uu-e1,2026-02-25T062226Z-egg9uu,2024-02-27,1911,180.00,0.00,EUR,bank_row:synth-b-043:journal:1,default,bank_row:synth-b-043:journal:1,,1,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-egg9uu-e2,2026-02-25T062226Z-egg9uu,2024-02-27,1998,0.00,180.00,EUR,bank_row:synth-b-043:journal:1,default,bank_row:synth-b-043:journal:1,,2,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-c4s2br-e1,2026-02-25T062226Z-c4s2br,2024-03-12,1910,313.75,0.00,EUR,bank_row:synth-b-003:journal:1,default,bank_row:synth-b-003:journal:1,,1,Synthetic sales receipt S-9002
2026-02-25T062226Z-c4s2br-e2,2026-02-25T062226Z-c4s2br,2024-03-12,3000,0.00,250.00,EUR,bank_row:synth-b-003:journal:1,default,bank_row:synth-b-003:journal:1,,2,Synthetic sales receipt S-9002
2026-02-25T062226Z-c4s2br-e3,2026-02-25T062226Z-c4s2br,2024-03-12,2931,0.00,63.75,EUR,bank_row:synth-b-003:journal:1,default,bank_row:synth-b-003:journal:1,,3,Synthetic sales receipt S-9002
2026-02-25T062226Z-7ys4jn-e1,2026-02-25T062226Z-7ys4jn,2024-03-20,4000,120.00,0.00,EUR,bank_row:synth-b-004:journal:1,default,bank_row:synth-b-004:journal:1,,1,Synthetic purchase payment P-9102
2026-02-25T062226Z-7ys4jn-e2,2026-02-25T062226Z-7ys4jn,2024-03-20,1763,30.60,0.00,EUR,bank_row:synth-b-004:journal:1,default,bank_row:synth-b-004:journal:1,,2,Synthetic purchase payment P-9102
2026-02-25T062226Z-7ys4jn-e3,2026-02-25T062226Z-7ys4jn,2024-03-20,1910,0.00,150.60,EUR,bank_row:synth-b-004:journal:1,default,bank_row:synth-b-004:journal:1,,3,Synthetic purchase payment P-9102
2026-02-25T062226Z-esb2kl-e1,2026-02-25T062226Z-esb2kl,2024-03-28,1998,160.00,0.00,EUR,bank_row:synth-b-044:journal:1,default,bank_row:synth-b-044:journal:1,,1,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-esb2kl-e2,2026-02-25T062226Z-esb2kl,2024-03-28,1910,0.00,160.00,EUR,bank_row:synth-b-044:journal:1,default,bank_row:synth-b-044:journal:1,,2,Synthetic monthly internal transfer out to Holvi
2026-02-25T062226Z-gg4t82-e1,2026-02-25T062226Z-gg4t82,2024-03-28,1911,160.00,0.00,EUR,bank_row:synth-b-045:journal:1,default,bank_row:synth-b-045:journal:1,,1,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-gg4t82-e2,2026-02-25T062226Z-gg4t82,2024-03-28,1998,0.00,160.00,EUR,bank_row:synth-b-045:journal:1,default,bank_row:synth-b-045:journal:1,,2,Synthetic monthly internal transfer in from OP
2026-02-25T062226Z-lle2bo-e1,2026-02-25T062226Z-lle2bo,2024-04-18,4000,95.00,0.00,EUR,bank_row:synth-b-011:journal:1,default,bank_row:synth-b-011:journal:1,,1,Synthetic purchase payment P-9104
2026-02-25T062226Z-lle2bo-e2,2026-02-25T062226Z-lle2bo,2024-04-18,1763,24.23,0.00,EUR,bank_row:synth-b-011:journal:1,default,bank_row:synth-b-011:journal:1,,2,Synthetic purchase payment P-9104
2026-02-25T062226Z-lle2bo-e3,2026-02-25T062226Z-lle2bo,2024-04-18,1910,0.00,119.23,EUR,bank_row:synth-b-011:journal:1,default,bank_row:synth-b-011:journal:1,,3,Synthetic purchase payment P-9104
2026-02-25T062227Z-fyxrdu-e1,2026-02-25T062227Z-fyxrdu,2024-04-29,1998,170.00,0.00,EUR,bank_row:synth-b-046:journal:1,default,bank_row:synth-b-046:journal:1,,1,Synthetic monthly internal transfer out to Holvi
2026-02-25T062227Z-fyxrdu-e2,2026-02-25T062227Z-fyxrdu,2024-04-29,1910,0.00,170.00,EUR,bank_row:synth-b-046:journal:1,default,bank_row:synth-b-046:journal:1,,2,Synthetic monthly internal transfer out to Holvi
2026-02-25T062227Z-0hi1kd-e1,2026-02-25T062227Z-0hi1kd,2024-04-29,1911,170.00,0.00,EUR,bank_row:synth-b-047:journal:1,default,bank_row:synth-b-047:journal:1,,1,Synthetic monthly internal transfer in from OP
2026-02-25T062227Z-0hi1kd-e2,2026-02-25T062227Z-0hi1kd,2024-04-29,1998,0.00,170.00,EUR,bank_row:synth-b-047:journal:1,default,bank_row:synth-b-047:journal:1,,2,Synthetic monthly internal transfer in from OP
2026-02-25T062227Z-xxozcx-e1,2026-02-25T062227Z-xxozcx,2024-05-20,1910,87.85,0.00,EUR,bank_row:synth-b-012:journal:1,default,bank_row:synth-b-012:journal:1,,1,Synthetic sales receipt S-9005
2026-02-25T062227Z-xxozcx-e2,2026-02-25T062227Z-xxozcx,2024-05-20,3000,0.00,70.00,EUR,bank_row:synth-b-012:journal:1,default,bank_row:synth-b-012:journal:1,,2,Synthetic sales receipt S-9005
