layout_id,account_code,statement_target,layout_line_id,normal_side,rollup_rule
default,3000,tuloslaskelma,revenue,credit,default
default,3002,tuloslaskelma,revenue,credit,default
default,3990,tuloslaskelma,revenue,credit,default
default,4000,tuloslaskelma,expense,debit,default
default,6800,tuloslaskelma,expense,debit,default
default,8564,tuloslaskelma,expense,debit,override
default,8680,tuloslaskelma,expense,debit,override
fi-kpa-tase,3000,tase,equity,credit,default
fi-kpa-tase,3002,tase,equity,credit,default
fi-kpa-tase,3990,tase,equity,credit,default
fi-kpa-tase,4000,tase,equity,credit,default
fi-kpa-tase,6800,tase,equity,credit,default
fi-kpa-tase,8564,tase,equity,credit,override
fi-kpa-tase,8680,tase,equity,credit,override
fi-kpa-tuloslaskelma-kululaji,3000,tuloslaskelma,revenue,credit,default
fi-kpa-tuloslaskelma-kululaji,3002,tuloslaskelma,revenue,credit,default
fi-kpa-tuloslaskelma-kululaji,3990,tuloslaskelma,pl_other_operating_income,credit,default
fi-kpa-tuloslaskelma-kululaji,4000,tuloslaskelma,pl_external_services,debit,default
fi-kpa-tuloslaskelma-kululaji,6800,tuloslaskelma,pl_depreciation_and_impairment,debit,default
fi-kpa-tuloslaskelma-kululaji,8564,tuloslaskelma,pl_financial_expenses,debit,override
fi-kpa-tuloslaskelma-kululaji,8680,tuloslaskelma,pl_other_operating_expenses,debit,override
pma,3000,tuloslaskelma,revenue,credit,default
pma,3002,tuloslaskelma,revenue,credit,default
pma,3990,tuloslaskelma,revenue,credit,default
pma,4000,tuloslaskelma,expense,debit,default
pma,6800,tuloslaskelma,expense,debit,default
pma,8564,tuloslaskelma,expense,debit,override
pma,8680,tuloslaskelma,expense,debit,override
pma-full,3000,tuloslaskelma,revenue,credit,default
pma-full,3002,tuloslaskelma,revenue,credit,default
pma-full,3990,tuloslaskelma,pl_other_operating_income,credit,default
pma-full,4000,tuloslaskelma,pl_external_services,debit,default
pma-full,6800,tuloslaskelma,pl_depreciation_and_impairment,debit,default
pma-full,8564,tuloslaskelma,pl_financial_expenses,debit,override
pma-full,8680,tuloslaskelma,pl_other_operating_expenses,debit,override
fi-kpa-tase,1160,tase,bs_noncurrent_assets,debit,default
fi-kpa-tase,1162,tase,bs_noncurrent_assets,debit,default
fi-kpa-tase,1763,tase,bs_current_assets,debit,default
fi-kpa-tase,1910,tase,bs_current_assets,debit,default
fi-kpa-tase,1911,tase,bs_current_assets,debit,default
fi-kpa-tase,1912,tase,bs_current_assets,debit,default
fi-kpa-tase,1998,tase,bs_current_assets,debit,default
fi-kpa-tase,1999,tase,bs_current_assets,debit,default
fi-kpa-tase,2010,tase,equity,credit,default
fi-kpa-tase,2060,tase,equity,credit,default
fi-kpa-tase,2200,tase,equity,credit,default
fi-kpa-tase,2370,tase,bs_reserves,credit,default
fi-kpa-tase,2931,tase,bs_other_liab,credit,default
