group_id,code,name,parent_group_id,report_profiles,notes
assets,100,Vastaavaa,,bs_short|bs_full,
bs_noncurrent_assets,110,PYSYVAT VASTAAVAT,assets,bs_full,
bs_intangible,111,Aineettomat hyodykkeet,bs_noncurrent_assets,bs_full,
bs_tangible,112,Aineelliset hyodykkeet,bs_noncurrent_assets,bs_full,
bs_current_assets,120,VAIHTUVAT VASTAAVAT,assets,bs_full,
bs_receivables,121,Saamiset,bs_current_assets,bs_full,
bs_receivables_long,122,Pitkaaikaiset saamiset,bs_receivables,bs_full,
bs_receivables_short,123,Lyhytaikaiset saamiset,bs_receivables,bs_full,
bs_cash,124,Rahat ja pankkisaamiset,bs_current_assets,bs_full,
liabilities,200,Vastattavaa,,bs_short|bs_full,
equity,210,OMA PAAOMA,liabilities,bs_short|bs_full,
bs_prior_year_result,211,Edellisten tilikausien voitto (-tappio),equity,bs_full,
bs_current_year_result,212,Tilikauden voitto (- tappio),equity,bs_full,
bs_private_investments,213,Panot yksityistilille,equity,bs_full,
bs_private_withdrawals,214,Otot yksityistililta,equity,bs_full,
bs_reserves,220,TILINPAATOSSIIRTOJEN KERTYMA,liabilities,bs_full,
bs_other_liab,230,VIERAS PAAOMA,liabilities,bs_full,
bs_long_term_liab,231,Pitkaaikainen vieras paaoma,bs_other_liab,bs_full,
bs_short_term_liab,232,Lyhytaikainen vieras paaoma,bs_other_liab,bs_full,
revenue,300,LIIKEVAIHTO,,pl_short|pl_full,
pl_other_operating_income,310,Liiketoiminnan muut tuotot,revenue,pl_full,
expense,400,Kulut,,pl_short,
pl_materials_and_services,410,Materiaalit ja palvelut,expense,pl_full,
pl_personnel_expenses,420,Henkilostokulut,expense,pl_full,
pl_depreciation_and_impairment,430,Poistot ja arvonalentumiset,expense,pl_full,
pl_other_operating_expenses,440,Liiketoiminnan muut kulut,expense,pl_full,
pl_financial_income,450,Muut korko- ja rahoitustuotot,revenue,pl_full,
pl_financial_expenses,460,Korkokulut ja muut rahoituskulut,expense,pl_full,
pl_income_taxes,470,Tuloverot,expense,pl_full,
net,490,Tilikauden voitto (tappio),,pl_short|pl_full,
