entry_id,transaction_id,posting_date,account_id,debit,credit,currency,voucher_id,source_system,source_id,dimensions,entry_sequence,description
b1d32822-3867-47ea-8caf-d266ed76d8b6-e1,b1d32822-3867-47ea-8caf-d266ed76d8b6,2024-01-01,1910,1500.00,0.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,,1,Synthetic opening balance
b1d32822-3867-47ea-8caf-d266ed76d8b6-e2,b1d32822-3867-47ea-8caf-d266ed76d8b6,2024-01-01,2200,0.00,1500.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,,2,Synthetic opening balance
6de4a874-6e50-48ee-8ce0-25369e2f68f9-e1,6de4a874-6e50-48ee-8ce0-25369e2f68f9,2024-01-15,1910,125.50,0.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,1,Synthetic sales receipt S-9001
6de4a874-6e50-48ee-8ce0-25369e2f68f9-e2,6de4a874-6e50-48ee-8ce0-25369e2f68f9,2024-01-15,3000,0.00,100.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,2,Synthetic sales receipt S-9001
6de4a874-6e50-48ee-8ce0-25369e2f68f9-e3,6de4a874-6e50-48ee-8ce0-25369e2f68f9,2024-01-15,2931,0.00,25.50,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,,3,Synthetic sales receipt S-9001
5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8-e1,5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8,2024-01-22,4000,40.00,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,1,Synthetic purchase payment P-9101
5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8-e2,5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8,2024-01-22,1763,10.20,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,2,Synthetic purchase payment P-9101
5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8-e3,5cf4dfa0-f2ba-4e71-97af-e12eb55a33a8,2024-01-22,1910,0.00,50.20,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,,3,Synthetic purchase payment P-9101
30fdcd42-5bb7-4f8e-9e2e-8f199569c112-e1,30fdcd42-5bb7-4f8e-9e2e-8f199569c112,2024-01-26,1998,150.00,0.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,,1,Synthetic monthly internal transfer out to Holvi
30fdcd42-5bb7-4f8e-9e2e-8f199569c112-e2,30fdcd42-5bb7-4f8e-9e2e-8f199569c112,2024-01-26,1910,0.00,150.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,,2,Synthetic monthly internal transfer out to Holvi
12c0d968-a39c-40e7-9d04-a22066ac1206-e1,12c0d968-a39c-40e7-9d04-a22066ac1206,2024-01-26,1911,150.00,0.00,EUR,bank_row:synth-b-041:journal:1,default,bank_row:synth-b-041:journal:1,,1,Synthetic monthly internal transfer in from OP
12c0d968-a39c-40e7-9d04-a22066ac1206-e2,12c0d968-a39c-40e7-9d04-a22066ac1206,2024-01-26,1998,0.00,150.00,EUR,bank_row:synth-b-041:journal:1,default,bank_row:synth-b-041:journal:1,,2,Synthetic monthly internal transfer in from OP
510db374-839b-4a9f-88ac-3ea05aef4b23-e1,510db374-839b-4a9f-88ac-3ea05aef4b23,2024-02-16,1910,175.70,0.00,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,1,Synthetic sales receipt S-9004
510db374-839b-4a9f-88ac-3ea05aef4b23-e2,510db374-839b-4a9f-88ac-3ea05aef4b23,2024-02-16,3000,0.00,140.00,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,2,Synthetic sales receipt S-9004
510db374-839b-4a9f-88ac-3ea05aef4b23-e3,510db374-839b-4a9f-88ac-3ea05aef4b23,2024-02-16,2931,0.00,35.70,EUR,bank_row:synth-b-010:journal:1,default,bank_row:synth-b-010:journal:1,,3,Synthetic sales receipt S-9004
