id,bank_txn_id,kind,invoice_id,entry_id,amount,currency,method,confidence,created_at
match-1,synth-b-001,invoice_payment,s9001,,125.50,EUR,manual,0.5,2026-02-21T23:43:16Z
match-2,synth-b-002,invoice_payment,p9101,,50.20,EUR,manual,0.5,2026-02-21T23:43:16Z
match-3,synth-b-010,invoice_payment,s9004,,175.70,EUR,manual,0.5,2026-02-21T23:43:16Z
match-4,synth-b-003,invoice_payment,s9002,,313.75,EUR,manual,0.5,2026-02-21T23:43:17Z
match-5,synth-b-004,invoice_payment,p9102,,150.60,EUR,manual,0.5,2026-02-21T23:43:17Z
match-6,synth-b-011,invoice_payment,p9104,,119.23,EUR,manual,0.5,2026-02-21T23:43:17Z
match-7,synth-b-012,invoice_payment,s9005,,87.85,EUR,manual,0.5,2026-02-21T23:43:17Z
match-8,synth-b-013,invoice_payment,p9105,,65.26,EUR,manual,0.5,2026-02-21T23:43:17Z
match-9,synth-b-014,invoice_payment,s9006,,225.90,EUR,manual,0.5,2026-02-21T23:43:17Z
match-10,synth-b-015,invoice_payment,p9106,,80.32,EUR,manual,0.5,2026-02-21T23:43:17Z
match-11,synth-b-005,invoice_payment,s9003,,50.00,EUR,manual,0.5,2026-02-21T23:43:17Z
match-12,synth-b-006,invoice_payment,s9003,,50.40,EUR,manual,0.5,2026-02-21T23:43:17Z
match-13,synth-b-007,invoice_payment,p9103,,30.00,EUR,manual,0.5,2026-02-21T23:43:17Z
match-14,synth-b-008,invoice_payment,p9103,,45.30,EUR,manual,0.5,2026-02-21T23:43:17Z
match-15,synth-b-016,invoice_payment,s9007,,263.55,EUR,manual,0.5,2026-02-21T23:43:18Z
match-16,synth-b-018,invoice_payment,s9008,,62.75,EUR,manual,0.5,2026-02-21T23:43:18Z
match-17,synth-b-019,invoice_payment,s9009,,243.50,EUR,manual,0.5,2026-02-21T23:43:18Z
match-18,synth-b-020,invoice_payment,p9108,,7.50,EUR,manual,0.5,2026-02-21T23:43:18Z
match-19,synth-b-017,invoice_payment,p9107,,55.22,EUR,manual,0.5,2026-02-21T23:43:18Z
match-20,synth-b-029,invoice_payment,s9010,,2500.00,EUR,manual,0.5,2026-02-21T23:43:18Z
