code,type,name,debit,credit,net
1160,asset,Equipment and machinery,1200.00,1200.00,0.00
1162,asset,Accumulated depreciation,300.00,300.00,0.00
1763,asset,VAT receivable,121.13,0.00,121.13
1910,asset,Main bank account,7198.90,4689.63,2509.27
1911,asset,Holvi bank account,2802.00,50.00,2752.00
1912,asset,PayPal bank account,50.00,0.00,50.00
1998,asset,Internal transfer clearing,2810.00,2810.00,0.00
1999,asset,Suspense account,42.00,42.00,0.00
2010,equity,Owner contributions,0.00,242.00,-242.00
2060,equity,Owner withdrawals,120.00,0.00,120.00
2200,equity,Retained earnings,0.00,1500.00,-1500.00
2370,liability,Owner loan liability,0.00,1000.00,-1000.00
2931,liability,VAT payable,0.00,324.88,-324.88
3000,income,Service sales,0.00,1274.02,-1274.02
3002,income,Business transfer income (VAT 0%),0.00,2500.00,-2500.00
4000,expense,Service purchases,482.50,0.00,482.50
6800,expense,Depreciation expense,300.00,0.00,300.00
8564,expense,Bank charges,6.00,0.00,6.00
8680,expense,Asset disposal loss,500.00,0.00,500.00
